k-아파트코드,k-아파트명,주소(시군구),주소(읍면동),lon,lat,min_lat,max_lat,min_lon,max_lon,safetyScore,safetyClass,hospitalScore,educationScore,cluster,DistanceToCenter,score,class
A15283701,고척경남1차,구로구,고척동,126.8627712,37.5052906,37.4782906,37.5322906,126.8357712,126.8897712,0.6947221282377055,0.0,0.5882113463679077,0.49976778655650855,0,-0.14896018343089507,0.7851901465436526,0.0
A13114201,묵동동구햇살,중랑구,묵동,127.0747746,37.613353,37.586353,37.640353,127.0477746,127.1017746,0.366835501318877,1.0,0.4547090641196868,0.49976778655650855,2,-0.1053546299273894,0.5955133297470278,1.0
A15602001,대방경남아너스빌,동작구,대방동,126.9256082,37.5116136,37.4846136,37.5386136,126.8986082,126.9526082,0.6935645995460933,0.0,0.5187681320797561,1.0,0,-0.608773895591748,0.3253764343827996,0.0
A15704001,염창2차한화꿈에그린,강서구,염창동,126.8668736,37.5515337,37.5245337,37.5785337,126.8398736,126.8938736,0.35368316425780943,1.0,0.506860961202481,1.0,2,-0.5880036245239898,0.11286433515042738,1.0
A13508002,역삼경남,강남구,역삼동,127.0423208,37.5005747,37.4735747,37.5275747,127.0153208,127.0693208,0.8608358614946066,0.0,0.4964654782759118,1.0,0,-0.6300884281293961,0.30406190184515147,0.0
A15780701,가양중앙하이츠,강서구,가양동,126.8492901,37.5698077,37.5428077,37.5968077,126.8222901,126.8762901,0.06061241364423639,2.0,0.28362728706411033,1.0,2,-0.6631541298676721,0.03771382980674509,1.0
A15086001,보라매두산위브,영등포구,신길동,126.9144293,37.4972694,37.4702694,37.5242694,126.8874293,126.9414293,0.7122309641591339,0.0,0.27372537763422994,1.0,0,-0.6438108782682224,0.29033945170632525,0.0
A13120701,용마산금호어울림,중랑구,면목동,127.091721,37.5770579,37.5500579,37.6040579,127.064721,127.118721,0.6342127411540617,0.0,0.3311439373011067,0.3044070261293626,0,-0.18752916553758212,0.7466211644369655,0.0
A15086201,양평서통한신,영등포구,양평동1가,126.8878466,37.5216885,37.4946885,37.5486885,126.8608466,126.9148466,0.6852248215796715,0.0,0.4402662775823197,0.3044070261293626,0,-0.09910160973742552,0.8350487202371221,0.0
A13983801,대망드림힐,노원구,상계동,127.0584516,37.6763152,37.6493152,37.7033152,127.0314516,127.0854516,0.09749235165577666,2.0,0.43606789480120844,0.3044070261293626,2,-0.24036304721218213,0.460504912462235,1.0
A15208201,고척양우,구로구,고척동,126.8566086,37.504745,37.477745,37.531745,126.8296086,126.8836086,0.7114008993875469,0.0,0.4844098095459917,0.3044070261293626,0,-0.08921858948854056,0.844931740486007,0.0
A12181101,동양엔파트,마포구,대흥동,126.9406061,37.5479468,37.5209468,37.5749468,126.9136061,126.9676061,0.3665258242121343,1.0,0.3342352866852517,0.3044070261293626,2,-0.18743976181173969,0.5134281978626775,1.0
A13882401,문정푸르지오2차,송파구,문정동,127.1270852,37.4867371,37.4597371,37.5137371,127.1000852,127.1540852,0.41372860345196016,1.0,0.6264047320949164,0.47892258464461274,2,-0.19655871954407514,0.5043092401303421,1.0
A13707002,아남,서초구,서초동,127.020739,37.4929518,37.4659518,37.5199518,126.993739,127.047739,0.8641484463966151,0.0,0.3725732814344461,0.47892258464461274,0,-0.22075527035896675,0.7133950596155809,0.0
A15009502,문래현대3차,영등포구,문래동5가,126.8844422,37.5161019,37.4891019,37.5431019,126.8574422,126.9114422,0.7015959011412314,0.0,0.5975431392393733,0.47892258464461274,0,-0.14207773128806903,0.7920725986864786,0.0
A15283803,구로금호어울림,구로구,구로동,126.8919875,37.5000583,37.4730583,37.5270583,126.8649875,126.9189875,0.6457211676407627,0.0,0.3521811306286007,0.47892258464461274,0,-0.1663832619280359,0.7677670680465117,0.0
A13790703,잠원신화,서초구,잠원동,127.0136875,37.5157083,37.4887083,37.5427083,126.9866875,127.0406875,0.7036340066851993,0.0,0.4221252177945244,0.47892258464461274,0,-0.10760575076724688,0.8265445792073007,0.0
A13887901,송파현대힐스테이트,송파구,풍납동,127.1184957,37.5311152,37.5041152,37.5581152,127.0914957,127.1454957,0.3184395493024824,1.0,0.5357018855597148,0.21043071687579495,2,-0.21372024613255583,0.48714771354186137,1.0
A15704002,염창 일신건영휴먼빌아파트,강서구,염창동,126.8731713,37.5520432,37.5250432,37.5790432,126.8461713,126.9001713,0.3743954410945123,1.0,0.29697938498654025,0.21043071687579495,2,-0.2783547656246176,0.4225131940497996,1.0
A15284101,구로2차순영웰라이빌,구로구,구로동,126.891625,37.4960263,37.4690263,37.5230263,126.864625,126.918625,0.6461404046239868,0.0,0.2590863252691009,0.21043071687579495,0,-0.2942326024653433,0.6399177275092043,0.0
A13008001,신이문금호어울림,동대문구,이문동,127.063182,37.6041205,37.5771205,37.6311205,127.036182,127.090182,0.74285168511061,0.0,0.5424214980923492,0.21043071687579495,0,-0.1963634458973737,0.737786884077174,0.0
A12289401,뉴신사신성,은평구,신사동,126.9062236,37.5935011,37.5665011,37.6205011,126.8792236,126.9332236,0.08635741822741069,2.0,0.34994758683209337,0.21043071687579495,2,-0.3256901297802878,0.3751778298941294,1.0
A13986701,중계성원2차,노원구,중계동,127.0752242,37.6611671,37.6341671,37.6881671,127.0482242,127.1022242,0.08787681501008901,2.0,0.4998383955349676,0.7911472844937292,2,-0.4366624036413681,0.26420555603304907,1.0
A13202302,방학극동아파트,도봉구,방학동,127.0268136,37.6645017,37.6375017,37.6915017,126.9998136,127.0538136,0.32973148153575027,1.0,0.626101277970603,0.7911472844937292,2,-0.40663406568996535,0.2942338939844518,1.0
A14206301,번동동문아파트,강북구,번동,127.0382004,37.6239797,37.5969797,37.6509797,127.0112004,127.0652004,0.5992000734260672,0.0,0.6777517756097857,0.7911472844937292,0,-0.45331849582846584,0.48083183414608177,0.0
A13509101,삼성청구타운,강남구,삼성동,127.0583783,37.5197827,37.4927827,37.5467827,127.0313783,127.0853783,0.6342878571214215,0.0,0.6915250724514368,0.7911472844937292,0,-0.45329856033504284,0.48085176963950477,0.0
A15004101,당산신동아파밀리에,영등포구,당산동1가,126.9003963,37.519805,37.492805,37.546805,126.8733963,126.9273963,0.7032461284215307,0.0,0.6534991068351746,0.7911472844937292,0,-0.4331032482400944,0.5010470817344532,0.0
A13704101,반포삼호가든맨션5차,서초구,반포동,127.0115013,37.5039415,37.4769415,37.5309415,126.9845013,127.0385013,0.7784336712918487,0.0,0.3101651952429422,0.08787941956244028,0,-0.36074893595714536,0.5734013940174023,0.0
A13384301,한양현대아파트,성동구,성수동1가,127.0479977,37.5455297,37.5185297,37.5725297,127.0209977,127.0749977,0.5916287993632833,0.0,0.5377443381440394,0.08787941956244028,0,-0.3257088359823817,0.6084414939921658,0.0
A15783701,등촌임광,강서구,등촌동,126.8633551,37.5404837,37.5134837,37.5674837,126.8363551,126.8903551,0.400849530565464,1.0,0.32420286714624624,0.08787941956244028,1,-0.322985094991154,0.09061207913987729,2.0
A13790604,잠원동대우아이빌,서초구,잠원동,127.0183736,37.5113932,37.4843932,37.5383932,126.9913736,127.0453736,0.8567698340641385,0.0,0.30172433053824105,0.08787941956244028,0,-0.39029507594627194,0.5438552540282757,0.0
A13184502,면목성원,중랑구,면목동,127.0907522,37.5774892,37.5504892,37.6044892,127.0637522,127.1177522,0.6313602511571988,0.0,0.5607696816444944,0.08787941956244028,0,-0.31996460492196954,0.6141857250525781,0.0
A15704003,염창월드메르디앙,강서구,염창동,126.8727626,37.5528637,37.5258637,37.5798637,126.8457626,126.8997626,0.3782235821960571,1.0,0.21316386017601427,0.5697398598961155,2,-0.3114094160754014,0.38945854359901577,1.0
A13508003,대우디오빌플러스,강남구,역삼동,127.0311179,37.4975858,37.4705858,37.5245858,127.0041179,127.0581179,0.9219202453151152,0.0,0.5396057134381003,0.5697398598961155,0,-0.2930182949035109,0.6411320350710368,0.0
A15809401,신월2차보람쉬움,양천구,신월동,126.8369039,37.5243291,37.4973291,37.5513291,126.8099039,126.8639039,0.397278330761321,1.0,0.2640386029323247,0.5697398598961155,2,-0.27584215190993,0.4250258077644872,1.0
A13610201,정릉2차대주피오레,성북구,정릉동,127.008977,37.6018169,37.5748169,37.6288169,126.981977,127.035977,0.3617836916514061,1.0,0.3394090641623731,0.5697398598961155,2,-0.21222045368823395,0.48864750598618323,1.0
A13309101,신금호두산위브,성동구,금호동1가,127.0223133,37.5559626,37.5289626,37.5829626,126.9953133,127.0493133,0.7352637241834952,0.0,0.4454994357212528,0.5697398598961155,0,-0.18631342332177106,0.7478369066527766,0.0
A15883101,신월성원,양천구,신월동,126.8339527,37.5282122,37.5012122,37.5552122,126.8069527,126.8609527,0.3936674976537403,1.0,0.44849864241016174,0.3499580025359918,2,-0.11061091911233953,0.5902570405620776,1.0
A15010301,양평우림루미아트,영등포구,양평동3가,126.8880477,37.5265939,37.4995939,37.5535939,126.8610477,126.9150477,0.32281174565208637,1.0,0.41107173936857844,0.3499580025359918,2,-0.09147967967155037,0.6093882800028668,1.0
A13406002,둔촌동동아,강동구,둔촌동,127.1458735,37.5331763,37.5061763,37.5601763,127.1188735,127.1728735,0.3326029922236097,1.0,0.38001154540438553,0.3499580025359918,2,-0.11673438330791731,0.5841335763664999,1.0
A15784201,등촌현대1차(한마음),강서구,등촌동,126.8553276,37.5559066,37.5289066,37.5829066,126.8283276,126.8823276,0.31794518302048014,1.0,0.6838304941639073,0.3499580025359918,2,-0.21996103840846745,0.4809069212659497,1.0
A15722001,마곡삼성,강서구,방화동,126.8221909,37.5721234,37.5451234,37.5991234,126.7951909,126.8491909,0.028850533805401313,2.0,0.5412657556630326,0.3499580025359918,2,-0.29406946310385607,0.4067984965705611,1.0
