k-아파트코드,k-아파트명,주소(시군구),주소(읍면동),lon,lat,min_lat,max_lat,min_lon,max_lon,fireVal,policeVal,cctvVal,cluster,DistanceToCenter,score,class
A15704001,염창2차한화꿈에그린,강서구,염창동,126.8668736,37.5515337,37.5245337,37.5785337,126.8398736,126.8938736,0.42105263157894735,0.043478260869565216,0.42177191328934965,2,0.12862597508900797,0.7693392907157837,1.0
A13508002,역삼경남,강남구,역삼동,127.0423208,37.5005747,37.4735747,37.5275747,127.0153208,127.0693208,0.3684210526315789,0.8260869565217391,0.8358859566446748,0,0.4731746251507584,1.4747482944815273,0.0
A15780701,가양중앙하이츠,강서구,가양동,126.8492901,37.5698077,37.5428077,37.5968077,126.8222901,126.8762901,0.2631578947368421,0.08695652173913043,0.220311027332705,1,0.11486147853307767,0.361701221649828,2.0
A15086001,보라매두산위브,영등포구,신길동,126.9144293,37.4972694,37.4702694,37.5242694,126.8874293,126.9414293,0.7368421052631579,0.4782608695652174,0.9095193213949104,0,0.26647705032709357,1.2680507196578623,0.0
A13120701,용마산금호어울림,중랑구,면목동,127.091721,37.5770579,37.5500579,37.6040579,127.064721,127.11872100000001,0.47368421052631576,0.30434782608695654,0.6469132893496701,0,0.15795991679820456,1.1595335861289735,0.0
A15086201,양평서통한신,영등포구,양평동1가,126.8878466,37.5216885,37.4946885,37.548688500000004,126.8608466,126.9148466,0.6842105263157894,0.30434782608695654,0.553722902921772,0,0.2289136572182142,1.230487326548983,0.0
A13983801,대망드림힐,노원구,상계동,127.0584516,37.6763152,37.6493152,37.7033152,127.0314516,127.0854516,0.2631578947368421,0.17391304347826086,0.24622997172478792,1,0.16615853457439847,0.41299827769114883,2.0
A15208201,고척양우,구로구,고척동,126.8566086,37.504745,37.477745,37.531745,126.8296086,126.8836086,0.631578947368421,0.17391304347826086,0.6217012252591895,0,0.2653224963500043,1.2668961656807731,0.0
A12181101,동양엔파트,마포구,대흥동,126.9406061,37.5479468,37.5209468,37.5749468,126.9136061,126.9676061,0.5263157894736842,0.08695652173913043,0.41423185673892554,2,0.1464890920820594,0.7872024077088351,1.0
A13882401,문정푸르지오2차,송파구,문정동,127.1270852,37.4867371,37.4597371,37.5137371,127.1000852,127.1540852,0.3157894736842105,0.21739130434782608,0.2801602262016965,2,0.21214439798885787,0.8528577136156336,1.0
