학교명,lat,lon,등급
한성과학고등학교,37.57543616578,126.952370943937,하
광문고등학교,37.5604616297792,127.158546528744,하
선화예술고등학교,37.5509798002896,127.087095159462,하
선사고등학교,37.5563158751807,127.13577562154,하
대일외국어고등학교,37.6133045933527,127.014175970968,하
영동일고등학교,37.5099746522433,127.089443727735,하
목동고등학교,37.5092159752312,126.86019842592,하
용산고등학교,37.5458673821179,126.980327669219,하
진선여자고등학교,37.5023028920315,127.048286565491,하
서울디지텍고등학교,37.5389694235589,126.990617730566,하
성동공업고등학교,37.5693631529572,127.017281730243,하
무학여자고등학교,37.5576263308862,127.033880902274,하
세종과학고등학교,37.4975693967975,126.827351739435,하
한세사이버보안고등학교,37.5517396875369,126.952136379582,하
오산고등학교,37.5235805097988,127.000887240982,하
배명고등학교,37.4976894981876,127.095811765574,하
인덕과학기술고등학교,37.6302514486494,127.054448642206,하
한영외국어고등학교,37.5490844724681,127.156927612469,하
중앙고등학교,37.5837882231459,126.987472622092,하
광양고등학교,37.529378916523,127.085182284683,하
선유고등학교,37.5339016190568,126.894850696134,하
선정고등학교,37.6187045126614,126.909031611714,하
홍익디자인고등학교,37.563510635781,126.919166278819,하
영파여자고등학교,37.5327371486645,127.119740221132,하
충암고등학교,37.5846402882465,126.921809482886,하
잠일고등학교,37.5145543759031,127.082367731592,하
대원외국어고등학교,37.5624502219725,127.089376716312,하
서울국제고등학교,37.5917911485864,126.995490680124,하
혜화여자고등학교,37.6313084157842,127.013212021303,하
경인고등학교,37.4959926823743,126.86542887783,하
신림고등학교,37.4792104943499,126.916967177377,하
서울과학고등학교,37.5915480465968,126.998436321282,하
독산고등학교,37.4762187185354,126.910939635513,하
단국대학교부속소프트웨어고등학교,37.4956174948977,127.057768228297,하
덕성여자고등학교,37.5777608153459,126.983558137257,하
오금고등학교,37.5045321738186,127.128968951167,하
배재고등학교,37.5550559824557,127.150160525237,하
선일여자고등학교,37.6203042094228,126.911993073275,하
서울고등학교,37.4842930566875,127.004901860862,하
문정고등학교,37.4851784987927,127.126692082604,하
휘문고등학교,37.5052894535671,127.061993880621,하
경희고등학교,37.5939491407769,127.054890960564,하
서울공업고등학교,37.5019012578828,126.922363030415,하
신목고등학교,37.512909431854,126.873606945101,하
이화여자대학교병설미디어고등학교,37.6031323992803,127.105332396209,하
은평고등학교,37.6091520473272,126.905808015137,하
서일문화예술고등학교,37.579364496797,127.012786339408,하
용문고등학교,37.5886903262008,127.024660795253,하
반포고등학교,37.5027027335348,127.016510661972,하
동국대학교사범대학부속고등학교,37.5780471818476,127.075133018965,하
보성고등학교,37.5200898870034,127.135729296295,하
우신고등학교,37.4949023087281,126.826353599765,하
면목고등학교,37.5846634085871,127.097270640409,하
서울세종고등학교,37.4903893469638,127.102796812957,하
용화여자고등학교,37.6591313767305,127.058280693098,하
한가람고등학교,37.5374620404618,126.88400754353,하
장충고등학교,37.5535149002283,127.006414953028,하
여의도여자고등학교,37.5229539211231,126.934857399184,하
숙명여자고등학교,37.4914753613052,127.052612582715,하
동국대학교사범대학부속여자고등학교,37.5419293578309,127.086973061678,하
선정국제관광고등학교,37.6187045126614,126.909031611714,하
송곡관광고등학교,37.6066890425626,127.105145451077,하
누원고등학교,37.6855689580624,127.049932683549,하
선린인터넷고등학교,37.5427698351486,126.966038693159,하
경동고등학교,37.5859418116443,127.01457927632,하
상명고등학교,37.649540794927,127.067701313205,하
서울로봇고등학교,37.480741415643,127.084154946756,하
영락고등학교,37.476541242971,126.945416499639,하
한성고등학교,37.559096439531,126.954456481223,하
예림디자인고등학교,37.5003550678039,126.827683012604,하
홍익대학교사범대학부속여자고등학교,37.559665162458,126.912928685692,하
상문고등학교,37.4797554325594,127.003916819634,하
삼성고등학교,37.469107701859,126.944010788599,하
예일디자인고등학교,37.6109458980893,126.914792838283,하
창덕여자고등학교,37.5162747389886,127.140230435212,하
해성여자고등학교,37.5818725994505,127.056976879173,하
성동글로벌경영고등학교,37.5658547150955,127.0135246262,하
중동고등학교,37.4937134106081,127.080660058176,하
영신여자고등학교,37.6525485061054,127.08350874514,하
화곡고등학교,37.547936112544,126.831535677751,하
고려대학교사범대학부속고등학교,37.6080476933587,127.002616144531,하
국립전통예술고등학교,37.4463710473917,126.906462134788,하
불암고등학교,37.6491585296421,127.080305829512,하
서울관광고등학교,37.4878154195732,126.943760849751,하
한양공업고등학교,37.5658716036039,127.011443307588,하
숭의여자고등학교,37.507364139341,126.92924328346,하
영훈고등학교,37.6146818749027,127.02809331872,하
서울동구고등학교,37.5941065881018,127.008215538987,하
서울미술고등학교,37.4766963066016,126.966748525059,하
일신여자상업고등학교,37.5017941334924,127.114241325581,하
서울동산고등학교,37.6307779754887,127.073998366297,하
선일빅데이터고등학교,37.6203042094228,126.911993073275,하
경복여자고등학교,37.5578218303652,126.850595718037,하
세화여자고등학교,37.5019964569165,126.994230013893,하
대진고등학교,37.6378068538477,127.076090022542,하
대원고등학교,37.5624502219725,127.089376716312,하
한양대학교사범대학부속고등학교,37.5619188387132,127.042324044658,하
청량고등학교,37.5888860047887,127.051310950177,하
이화여자고등학교,37.5665547140475,126.971037241447,하
이화여자대학교사범대학부속이화금란고등학교,37.5663888550725,126.947355714248,하
여의도고등학교,37.525051010673,126.934219234109,하
잠신고등학교,37.5147012912615,127.08828295987,하
홍익대학교사범대학부속고등학교,37.5936666161184,127.002804963597,하
가락고등학교,37.5010563298142,127.116425801136,하
배문고등학교,37.5499187190496,126.963904100329,하
대성고등학교,37.6231422778381,126.909790703133,하
등촌고등학교,37.5629452192593,126.845046119983,하
청원여자고등학교,37.6652515464657,127.062532889006,하
상명대학교사범대학부속여자고등학교,37.604108905882,126.955159496571,하
마포고등학교,37.5600277060889,126.85286487714,하
서울방송고등학교,37.5477744781642,127.011037345163,하
휘봉고등학교,37.5863723553049,127.068940658438,하
상일여자고등학교,37.5485874781342,127.170823536325,하
대영고등학교,37.5036530645899,126.905518076656,하
중산고등학교,37.4857429318866,127.0814284922,하
국립국악고등학교,37.4762397420077,127.051213825746,하
세명컴퓨터고등학교,37.6278475739332,126.923545504491,하
서울항공비즈니스고등학교,37.5692177821112,126.817040800626,하
서울인공지능고등학교,37.4916482412209,127.142085431868,하
효문고등학교,37.6526987118348,127.0184004627,하
서울디자인고등학교,37.5466750773343,126.948479002412,하
진명여자고등학교,37.5240834137562,126.865465205432,하
세현고등학교,37.5604306618095,126.863621128106,하
배화여자고등학교,37.5795440101952,126.967291871532,하
풍문고등학교,37.4713361652893,127.09996343408,하
경복비즈니스고등학교,37.5580972589988,126.852670273321,하
선덕고등학교,37.6562750160952,127.026703057445,하
경성고등학교,37.563510635781,126.919166278819,하
명덕외국어고등학교,37.5538694849081,126.8339773378,하
대신고등학교,37.573123769216,126.96125454884,하
동명여자고등학교,37.6144187859471,126.92282044301,하
강동고등학교,37.5499166487971,127.160668324892,하
송곡여자고등학교,37.6066890425626,127.105145451077,하
청담고등학교,37.5279473627751,127.043866627763,하
서울외국어고등학교,37.6457807932104,127.0515086969,하
